,url,check
74,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Guidance-on-setting-objectives-for-appraisal/,
75,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Managing_Under_performance/,
76,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Performance-improvement-plans/,
77,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Social-media-inappropriate-content-posted-by-staff-volunteers-and-ex-workers/,
78,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Statutory-right-to-be-accompanied/,
79,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Suspension/,
80,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Performance-and-supervision/Competences/,
81,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/,
82,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Termination-of-employment/,
83,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Redundancy/,
84,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Retirement/,
85,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Managing-leavers/,
86,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Unfair-dismissal/,
87,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Exit-interviews/,
88,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/End-of-employment/Giving-and-receiving-references/,
89,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Health-and-sickness/,
90,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Health-and-sickness/Sickness-absence/,
91,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Health-and-sickness/Mental-health-and-paid-staff/,
92,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Health-and-sickness/Work-related-stress/,
93,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Health-and-sickness/Staff-with-HIV-creating-an-inclusive-environment/,
94,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Health-and-sickness/employee-assistance-programme/,
95,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/,
96,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/Induction-of-new-staff/,
97,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/Planning-the-induction-of-new-managerial-staff/,
98,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/getting-started-as-a-trustee-or-manager/,
99,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/information-for-new-managers/,
100,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/probationary-policy/,
101,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/new-page/,
102,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/probation/,
103,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Induction/probation-policy-and-procedure/,
104,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Restructuring-and-reorganisation/,
105,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/,
106,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/Pay-structures-and-setting-salaries/,
107,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/Local-government-salary-scales/,
108,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/pensions/,
109,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/pensions/pensions-operating-automatic-enrolment/,
110,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/pensions/the-local-government-pension-scheme-on-cablink/,
111,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/Employee-engagement/,
112,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/Investors-in-People/,
113,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/significant-achievement-certificates/,
114,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/Career-break-model-policy/,
115,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/Special-leave-model-policy/,
116,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Salary-benefits-and-engaging-staff/selecting-the-right-candidate/,
117,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Whistle-blowing-grievance-and-tribunals/,
118,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Whistle-blowing-grievance-and-tribunals/Employment-tribunal-hearings-and-costs/,
119,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Whistle-blowing-grievance-and-tribunals/Handling-grievance-issues/,
120,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Whistle-blowing-grievance-and-tribunals/Employment-tribunal-costs/,
121,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Whistle-blowing-grievance-and-tribunals/Whistle-blowing/,
122,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Activities-outside-of-work/,
123,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Activities-outside-of-work/Political-impartiality-standing-for-office/,
124,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Activities-outside-of-work/Paid-staff-undertaking-volunteer-roles/,
125,https://www.citizensadvice.org.uk/bmis/Team/Paid-staff/Activities-outside-of-work/Secondary-employment-model-policy/,
126,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/,
127,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/,
128,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/volunteer-recruitment-delivering-inclusive-volunteering/,
129,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/Volunteer-application-form-and-information-pack/,
130,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/Who-can-work-or-volunteer-for-a-bureau-overview/,
131,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/digital-chat-and-messaging-volunteer-recruitment-pack/,
132,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/Volunteer-role-descriptions/,
133,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/Getting-a-DBS-check--the-process/,
134,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/Getting-a-DBS-check--the-process/Disclosure-and-barring-Citizens-Advice-service-policy/,
135,https://www.citizensadvice.org.uk/bmis/Team/Volunteers/Volunteers-recruitment/Short-term-volunteering/,
